created_at,num_open_ai_tokens
2025-08-11 14:23:19.203762+00:00,242
2025-08-11 12:59:03.509404+00:00,265
2025-08-07 19:09:44.888400+00:00,131
2025-08-07 15:58:11.207198+00:00,156
2025-08-07 15:53:01.457479+00:00,212
2025-08-07 15:46:21.615711+00:00,281
2025-08-07 15:35:43.760588+00:00,254
2025-08-07 15:32:36.493098+00:00,374
2025-08-07 14:49:09.335478+00:00,220
2025-08-07 14:32:44.213937+00:00,710
2025-08-07 14:27:58.158130+00:00,183
2025-08-07 12:30:24.181192+00:00,2757
2025-08-06 21:28:14.547022+00:00,571
2025-08-06 20:27:15.446966+00:00,431
2025-08-06 19:36:25.421471+00:00,1135
2025-08-06 19:36:19.225661+00:00,147
2025-08-06 19:27:50.057495+00:00,174
2025-08-06 18:54:53.330654+00:00,199
2025-08-05 20:46:34.059229+00:00,313
2025-08-05 18:10:49.336339+00:00,457
2025-08-05 17:32:21.884507+00:00,466
2025-08-05 15:41:49.072816+00:00,262
2025-08-05 15:24:56.062290+00:00,334
2025-08-05 15:06:14.592058+00:00,523
2025-08-05 15:02:53.489570+00:00,301
2025-08-05 14:40:33.192997+00:00,619
2025-08-05 14:35:12.566923+00:00,505
2025-08-05 14:16:17.619801+00:00,399
2025-08-05 14:14:21.042823+00:00,1896
2025-08-05 14:10:47.074128+00:00,402
2025-08-05 14:05:49.272007+00:00,301
2025-08-05 13:43:15.619355+00:00,207
2025-08-05 13:10:41.406202+00:00,182
2025-08-04 20:11:39.064901+00:00,274
2025-08-04 20:09:47.589486+00:00,601
2025-08-04 20:09:31.637146+00:00,304
2025-08-04 19:34:52.886364+00:00,280
2025-08-04 17:37:04.387115+00:00,169
2025-08-04 15:48:37.325636+00:00,799
2025-07-31 19:30:31.685063+00:00,1043
2025-07-31 15:18:42.159127+00:00,171
2025-07-31 14:59:49.076500+00:00,567
2025-07-31 14:52:54.505093+00:00,885
2025-07-31 13:25:50.322536+00:00,192
2025-07-30 19:11:13.563235+00:00,163
2025-07-30 19:10:52.570871+00:00,323
2025-07-30 17:37:33.283636+00:00,156
2025-07-30 17:37:11.246830+00:00,159
2025-07-30 17:36:54.294069+00:00,306
2025-07-29 17:57:22.763312+00:00,727
2025-07-29 17:50:35.113269+00:00,748
2025-07-29 16:43:38.961654+00:00,952
2025-07-28 21:37:33.591943+00:00,341
2025-07-28 21:23:47.619670+00:00,280
2025-07-28 20:39:50.195535+00:00,404
2025-07-28 20:39:30.527631+00:00,412
2025-07-28 18:19:40.986742+00:00,159
2025-07-28 14:57:16.635382+00:00,331
2025-07-28 13:48:16.618916+00:00,197
2025-07-28 13:47:26.323593+00:00,202
2025-07-28 13:03:09.977103+00:00,478
2025-07-24 13:50:36.787946+00:00,240
2025-07-24 13:48:49.390499+00:00,418
2025-07-22 21:12:34.724499+00:00,397
2025-07-22 21:04:08.504552+00:00,170
2025-07-22 20:59:58.920483+00:00,389
2025-07-22 20:59:42.489206+00:00,294
2025-07-22 20:59:31.540758+00:00,301
2025-07-22 20:59:10.069552+00:00,327
2025-07-22 17:10:39.440548+00:00,220
2025-07-22 13:05:33.578272+00:00,357
2025-07-21 16:20:00.806487+00:00,321
2025-07-21 16:18:40.092683+00:00,381
2025-07-21 16:17:41.823369+00:00,750
2025-07-21 16:16:30.929640+00:00,1407
2025-07-21 16:15:28.527888+00:00,384
2025-07-21 16:13:24.420683+00:00,1023
2025-07-21 16:12:10.569480+00:00,470
2025-07-21 16:11:03.476643+00:00,1632
2025-07-21 11:55:55.902666+00:00,2003
2025-07-19 16:13:00.846556+00:00,172
2025-07-17 21:54:54.363769+00:00,295
2025-07-17 21:54:00.321416+00:00,231
2025-07-17 21:09:28.400984+00:00,311
2025-07-17 21:00:48.923407+00:00,590
2025-07-17 17:42:55.508147+00:00,248
2025-07-17 17:42:13.424667+00:00,249
2025-07-17 17:41:29.234756+00:00,609
2025-07-17 13:57:01.397572+00:00,207
2025-07-17 13:56:20.380428+00:00,263
2025-07-17 13:53:30.858285+00:00,807
2025-07-17 00:48:37.768267+00:00,477
2025-07-17 00:44:41.475003+00:00,719
2025-07-17 00:37:06.312018+00:00,192
2025-07-16 18:48:30.033624+00:00,225
2025-07-16 14:47:51.656728+00:00,393
2025-07-16 14:34:30.887491+00:00,167
2025-07-16 14:33:54.793110+00:00,687
2025-07-16 14:31:58.612149+00:00,485
2025-07-16 14:27:33.187309+00:00,197
2025-07-16 14:27:06.878372+00:00,203
2025-07-16 14:26:27.204200+00:00,365
2025-07-16 13:47:59.132524+00:00,766
2025-07-15 20:20:31.254714+00:00,639
2025-07-15 19:41:12.890339+00:00,840
2025-07-15 17:26:40.694034+00:00,411
2025-07-14 20:22:42.016769+00:00,1039
2025-07-14 18:37:10.767825+00:00,213
2025-07-14 18:16:45.253077+00:00,532
2025-07-14 18:00:11.466629+00:00,511
2025-07-14 14:15:08.517347+00:00,193
2025-07-14 14:12:50.834801+00:00,263
2025-07-14 13:17:16.844364+00:00,192
2025-07-10 22:12:55.367584+00:00,167
2025-07-10 22:12:38.878835+00:00,258
2025-07-10 15:24:54.113691+00:00,208
2025-07-09 18:34:41.147393+00:00,1717
2025-07-09 15:32:17.601959+00:00,199
2025-07-09 15:31:52.043070+00:00,1312
2025-07-09 15:31:12.667136+00:00,357
2025-07-09 13:58:50.537246+00:00,657
2025-07-08 19:15:20.703167+00:00,220
2025-07-08 19:08:00.905110+00:00,222
2025-07-08 18:04:01.407616+00:00,988
2025-07-08 17:40:32.889837+00:00,301
2025-07-08 14:37:23.603416+00:00,228
2025-07-07 14:59:53.304082+00:00,367
2025-07-07 13:07:26.161254+00:00,4887
2025-07-03 14:55:59.501625+00:00,238
2025-07-03 13:50:40.505892+00:00,294
2025-07-02 19:56:47.929824+00:00,176
2025-07-02 19:55:07.279512+00:00,276
2025-07-02 19:41:51.535974+00:00,278
2025-07-02 18:45:27.870988+00:00,472
2025-07-02 14:03:52.198991+00:00,421
