created_at,num_open_ai_tokens
2025-07-29 21:27:42.881148+00:00,87
2025-07-29 15:17:58.104480+00:00,96
2025-07-24 11:50:42.366636+00:00,115
2025-07-23 20:31:28.743275+00:00,125
2025-07-22 17:34:17.926390+00:00,216
2025-07-21 22:09:03.603998+00:00,214
2025-07-17 17:08:37.185461+00:00,124
2025-07-17 00:34:58.540607+00:00,102
2025-07-15 14:38:22.883148+00:00,259
2025-07-15 14:35:38.681211+00:00,103
2025-07-09 14:20:53.961806+00:00,140
2025-07-02 21:41:12.551957+00:00,118
2025-06-20 17:55:21.406530+00:00,113
2025-06-18 20:01:52.485930+00:00,128
2025-06-18 15:50:29.849130+00:00,146
2025-06-17 21:35:18.546296+00:00,144
2025-06-16 18:11:19.366318+00:00,185
2025-06-16 18:10:35.612665+00:00,193
2025-06-04 20:02:50.718243+00:00,98
2025-06-04 15:39:10.275168+00:00,115
2025-06-03 20:06:37.489118+00:00,153
2025-05-29 17:28:59.117066+00:00,109
2025-05-23 19:41:09.376231+00:00,124
2025-05-21 23:38:17.250377+00:00,142
2025-05-21 17:00:08.385426+00:00,116
2025-05-20 13:00:35.232419+00:00,90
2025-05-16 21:16:13.245987+00:00,119
2025-05-16 19:52:11.226602+00:00,163
2025-05-15 19:15:30.727455+00:00,126
2025-05-14 20:34:43.461093+00:00,196
2025-05-12 18:57:03.397286+00:00,158
2025-05-12 18:55:50.972910+00:00,208
2025-05-05 17:43:48.835456+00:00,109
2025-04-29 13:53:15.769288+00:00,102
2025-04-25 17:50:02.212810+00:00,132
2025-04-25 17:46:12.699754+00:00,124
2025-04-23 17:32:40.307087+00:00,106
2025-04-22 16:57:42.390185+00:00,123
2025-04-22 13:30:17.340560+00:00,93
2025-04-22 13:29:43.455819+00:00,105
2025-04-21 22:31:19.317097+00:00,111
2025-04-11 16:42:07.965112+00:00,168
2025-04-11 13:59:30.109154+00:00,94
2025-04-10 17:56:32.118236+00:00,129
2025-04-09 19:09:01.252615+00:00,117
2025-04-07 19:24:37.924645+00:00,119
2025-04-03 18:53:31.875742+00:00,122
2025-04-02 20:35:24.102147+00:00,119
2025-04-02 19:11:17.396739+00:00,118
2025-03-31 21:51:20.333451+00:00,191
2025-03-31 21:41:38.293215+00:00,126
2025-03-28 23:48:30.008245+00:00,111
2025-03-27 13:13:02.017669+00:00,205
2025-03-25 13:14:16.160888+00:00,100
2025-03-24 23:35:19.635133+00:00,170
2025-03-24 23:30:52.025194+00:00,177
2025-03-24 23:30:26.479537+00:00,171
2025-03-21 15:03:58.240809+00:00,179
2025-03-20 12:24:14.831021+00:00,111
2025-03-19 20:32:31.641559+00:00,183
2025-03-19 20:32:04.571742+00:00,159
2025-03-18 21:43:59.322871+00:00,215
2025-03-18 21:29:40.735087+00:00,188
2025-03-18 21:26:40.210505+00:00,181
2025-03-18 21:25:46.390239+00:00,157
2025-03-17 18:57:21.769126+00:00,120
2025-03-17 13:36:41.879130+00:00,208
2025-03-13 13:02:30.595486+00:00,65
2025-03-06 19:38:40.353590+00:00,97
2025-03-06 18:11:33.636412+00:00,109
2025-03-06 17:58:57.670690+00:00,114
2025-03-06 17:57:36.542687+00:00,69
2025-03-06 17:57:02.191367+00:00,102
2025-03-06 17:55:47.025347+00:00,45
